Indicatif,Pays
20,Égypte
211,Soudan du Sud
212,Maroc
213,Algérie
216,Tunisie
218,Libye
220,Gambie
221,Sénégal
222,Mauritanie
223,Mali
224,Guinée
225,Côte d'Ivoire
226,Burkina Faso
227,Niger
228,Togo
229,Bénin
230,Maurice
231,Libéria
232,Sierra Leone
233,Ghana
234,Nigéria
235,Tchad
236,République centrafricaine
237,Cameroun
238,Cap Vert
239,Sao Tomé et Principe
240,Guinée équatoriale
241,Gabon
242,Congo
243,République Démocratique du Congo
244,Angola
245,Guinée-Bissau
246,Diego Garcia
247,"Sainte-Hélène, Ascension et Tristan da Cunha"
248,Seychelles
249,Soudan
250,Rwanda
251,Éthiopie
252,Somalie
253,Djibouti
254,Kenya
255,Tanzanie
256,Ouganda
257,Burundi
258,Mozambique
260,Zambie
261,Madagascar
262,Départements et territoires français de l'océan Indien
263,Zimbabwe
264,Namibie
265,Malawi
266,Lesotho
267,Botswana
268,Eswatini
269,Comores
27,Afrique du Sud
290,"Sainte-Hélène, Ascension et Tristan da Cunha"
291,Érythrée
297,Aruba
298,Îles Féroé
299,Groenland
30,Grèce
31,Pays-Bas
32,Belgique
33,France
34,Espagne
350,Gibraltar
351,Portugal
352,Luxembourg
353,Irlande
354,Islande
355,Albanie
356,Malte
357,Chypre
358,Finlande
35818,Åland
359,Bulgarie
36,Hongrie
370,Lituanie
371,Lettonie
372,Estonie
373,Moldova
374,Arménie
375,Bélarus
376,Andorre
377,Monaco
378,Saint-Marin
379,État de la Cité du Vatican
380,Ukraine
381,Serbie
382,Monténégro
383,Kosovo
385,Croatie
386,Slovénie
387,Bosnie Herzégovine
388,Europe
389,Macédoine du Nord
39,Italie
390549,Saint-Marin
3906698,État de la Cité du Vatican
40,Roumanie
41,Suisse
420,Tchéquie
421,Slovaquie
423,Liechtenstein
43,Autriche
44,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
441534,Jersey
441481,Guernesey
441624,île de Man
447781,Guernesey
447839,Guernesey
447911,Guernesey
447509,Jersey
447797,Jersey
447937,Jersey
447700,Jersey
447829,Jersey
447624,île de Man
447524,île de Man
447024,île de Man
45,Danemark
46,Suède
47,Norvège
4779,Svalbard
48,Pologne
49,Allemagne
500,Îles Falkland
501,Belize
502,Guatemala
503,El Salvador
504,Honduras
505,Nicaragua
506,Costa Rica
507,Panama
508,Saint Pierre et Miquelon
509,Haïti
51,Pérou
52,Mexique
53,Cuba
54,République argentine
55,Brésil
56,Chili
57,Colombie
58,Venezuela
590,Guadeloupe
591,Bolivie
592,Guyana
593,Equateur
594,Guyane française
595,Paraguay
596,Martinique
597,Suriname
598,Uruguay
599,"Bonaire, Saint-Eustache et Saba"
599,Curacao
60,Malaisie
61,Australie
62,Indonésie
63,Philippines
64,Nouvelle-Zélande
65,Singapour
66,Thaïlande
670,Timor-Leste
672,Territoires extérieurs australiens
673,Brunei Darussalam
674,Nauru
675,Papouasie Nouvelle Guinée
676,Tonga
677,îles Salomon
678,Vanuatu
679,Fidji
680,Palau
681,Wallis et Futuna
682,Îles Cook
683,Niue
685,Samoa
686,Kiribati
687,Nouvelle-Calédonie
688,Tuvalu
689,Polynésie française
690,Tokelau
691,Micronésie
692,Îles Marshall
73,Russie
74,Russie
76,Kazakhstan
77,Kazakhstan
78,Russie
79,Russie
800,Service de téléphonie gratuit international
808,Service international à frais partagés (ISCS)
81,Japon
82,Corée du Sud
84,Viet Nam
850,Corée du Nord
852,Hong Kong
853,Macao
855,Cambodge
856,Laos
86,Chine
870,Inmarsat SNAC
878,Service universel de télécommunications personnelles (UPT)
880,Bangladesh
881,Global Mobile Satellite System (GMSS)
